Vial_Label,Haul Code,Fish_number,Length(mm),
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,235,10.02,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,236,10.43,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,237,9.51,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,238,9.08,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,239,11.68,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,240,11.04,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,241,7.96,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,242,8.71,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,243,8.91,flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,244,9.7,post-flexion
,,,,
mezcalW19-20190307-NH-S2-MbD-Moc4-N3,319-4-3,1,10.32,
mezcalW19-20190307-NH-S2-MbD-Moc4-N3,319-4-3,2,11.3,
mezcalW19-20190307-NH-S2-MbD-Moc4-N3,319-4-3,3,9.18,
mezcalW19-20190307-NH-S2-MbD-Moc4-N3,319-4-3,4,8.64,
mezcalW19-20190307-NH-S2-MbD-Moc4-N3,319-4-3,5,8.93,
mezcalW19-20190307-NH-S2-MbD-Moc4-N3,319-4-3,6,9.77,
mezcalW19-20190307-NH-S2-MbD-Moc4-N3,319-4-3,7,8.58,
mezcalW19-20190307-NH-S2-MbD-Moc4-N3,319-4-3,8,9.17,
mezcalW19-20190307-NH-S2-MbD-Moc4-N3,319-4-3,9,8.4,
mezcalW19-20190307-NH-S2-MbD-Moc4-N3,319-4-3,10,8.67,
mezcalW19-20190307-NH-S2-MbD-Moc4-N3,319-4-3,11,8.96,
mezcalW19-20190307-NH-S2-MbD-Moc4-N3,319-4-3,12,8.17,
mezcalW19-20190307-NH-S2-MbD-Moc4-N3,319-4-3,13,7.74,
mezcalW19-20190307-NH-S2-MbD-Moc4-N3,319-4-3,14,8.98,
