Cruise,Haul.no,Moc,Net.no,Transect,Station,Fish.no,Length(mm),notes 
SPECTRA_W23,305-4-3,4,3,GH,2,2,9.07,
SPECTRA_W23,305-4-3,4,3,GH,2,3,8.22,
SPECTRA_W23,305-4-3,4,3,GH,2,4,9.34,
SPECTRA_W23,305-4-3,4,3,GH,2,5,8.25,
SPECTRA_W23,305-4-3,4,3,GH,2,6,9.25,
SPECTRA_W23,305-4-3,4,3,GH,2,7,9.37,post-flexion
SPECTRA_W23,305-4-3,4,3,GH,2,8,8.63,
SPECTRA_W23,305-4-3,4,3,GH,2,9,7.79,
SPECTRA_W23,305-4-3,4,3,GH,2,10,9.72,post-flexion
SPECTRA_W23,305-4-3,4,3,GH,2,11,8.97,post-flexion
SPECTRA_W23,305-4-3,4,3,GH,2,12,9.51,
SPECTRA_W23,305-4-3,4,3,GH,2,13,7.71,
SPECTRA_W23,305-4-3,4,3,GH,2,14,,
SPECTRA_W23,305-4-3,4,3,GH,2,15,6.34,
SPECTRA_W23,305-4-3,4,3,GH,2,16,7.79,
SPECTRA_W23,305-4-3,4,3,GH,2,17,7.32,
SPECTRA_W23,305-4-3,4,3,GH,2,18,13.24,post-flexion
SPECTRA_W23,305-4-3,4,3,GH,2,19,8.94,
SPECTRA_W23,305-4-3,4,3,GH,2,20,10.52,post-flexion
SPECTRA_W23,305-4-3,4,3,GH,2,21,7.78,flexion
SPECTRA_W23,305-4-3,4,3,GH,2,22,9.34,post-flexion
SPECTRA_W23,305-4-3,4,3,GH,2,23,7.45,
SPECTRA_W23,305-4-3,4,3,GH,2,24,8.66,post-flexion
SPECTRA_W23,305-4-3,4,3,GH,2,25,8.91,post-flexion
SPECTRA_W23,305-4-3,4,3,GH,2,26,9.46,post-flexion
SPECTRA_W23,305-4-3,4,3,GH,2,27,10.36,post-flexion
SPECTRA_W23,305-4-3,4,3,GH,2,28,7.29,
SPECTRA_W23,305-4-3,4,3,GH,2,29,7.37,
SPECTRA_W23,305-4-3,4,3,GH,2,30,10.16,post-flexion
SPECTRA_W23,305-4-3,4,3,GH,2,31,8.52,
SPECTRA_W23,305-4-3,4,3,GH,2,32,8.17,post-flexion
,,,,,,,,
SPECTRA_W23,305-4-4,4,4,GH,2,1,11.91,post-flexion
SPECTRA_W23,305-4-4,4,4,GH,2,2,10.49,post-flexion
SPECTRA_W23,305-4-4,4,4,GH,2,3,10.4,
SPECTRA_W23,305-4-4,4,4,GH,2,4,9.17,flexion
SPECTRA_W23,305-4-4,4,4,GH,2,5,9.11,
SPECTRA_W23,305-4-4,4,4,GH,2,6,10.24,
SPECTRA_W23,305-4-4,4,4,GH,2,7,9.41,post-flexion
SPECTRA_W23,305-4-4,4,4,GH,2,8,7.71,
SPECTRA_W23,305-4-4,4,4,GH,2,9,7.86,
SPECTRA_W23,305-4-4,4,4,GH,2,10,9.44,
SPECTRA_W23,305-4-4,4,4,GH,2,11,7.83,
SPECTRA_W23,305-4-4,4,4,GH,2,12,8.85,
SPECTRA_W23,305-4-4,4,4,GH,2,13,5.61,
SPECTRA_W23,305-4-4,4,4,GH,2,14,7.98,
SPECTRA_W23,305-4-4,4,4,GH,2,15,9.78,flexion
SPECTRA_W23,305-4-4,4,4,GH,2,16,11.66,flexion
SPECTRA_W23,305-4-4,4,4,GH,2,17,8.58,
SPECTRA_W23,305-4-4,4,4,GH,2,18,9.99,
SPECTRA_W23,305-4-4,4,4,GH,2,19,7.07,
SPECTRA_W23,305-4-4,4,4,GH,2,20,10.22,flexion
SPECTRA_W23,305-4-4,4,4,GH,2,21,10.62,flexion
SPECTRA_W23,305-4-4,4,4,GH,2,22,9.19,
SPECTRA_W23,305-4-4,4,4,GH,2,23,3.34,
SPECTRA_W23,305-4-4,4,4,GH,2,24,10.03,
SPECTRA_W23,305-4-4,4,4,GH,2,25,7.93,
SPECTRA_W23,305-4-4,4,4,GH,2,26,10.74,post-flexion
SPECTRA_W23,305-4-4,4,4,GH,2,27,10.95,post-flexion
SPECTRA_W23,305-4-4,4,4,GH,2,28,9.71,post-flexion
SPECTRA_W23,305-4-4,4,4,GH,2,29,11.1,post-flexion
SPECTRA_W23,305-4-4,4,4,GH,2,30,11.52,post-flexion
SPECTRA_W23,305-4-4,4,4,GH,2,31,8.99,
SPECTRA_W23,305-4-4,4,4,GH,2,32,10.94,post-flexion
SPECTRA_W23,305-4-4,4,4,GH,2,33,6.95,
SPECTRA_W23,305-4-4,4,4,GH,2,34,9.51,
SPECTRA_W23,305-4-4,4,4,GH,2,35,6.46,
SPECTRA_W23,305-4-4,4,4,GH,2,36,10.14,
SPECTRA_W23,305-4-4,4,4,GH,2,37,9.32,
SPECTRA_W23,305-4-4,4,4,GH,2,38,8.99,
SPECTRA_W23,305-4-4,4,4,GH,2,39,7.54,
SPECTRA_W23,305-4-4,4,4,GH,2,40,8.67,
SPECTRA_W23,305-4-4,4,4,GH,2,41,8.36,
SPECTRA_W23,305-4-4,4,4,GH,2,42,9.49,post-flexion
SPECTRA_W23,305-4-4,4,4,GH,2,43,8.97,
SPECTRA_W23,305-4-4,4,4,GH,2,44,7.63,flexion
SPECTRA_W23,305-4-4,4,4,GH,2,45,9.14,flexion
SPECTRA_W23,305-4-4,4,4,GH,2,46,8.71,
