Cruise,Haul.no,Moc,Net.no,Transect,Station,Fish.no,Length(mm),notes ,
SPECTRA_W22,118-4-0,4,0,NH,1,1,11.84,post-flexion,
SPECTRA_W22,118-4-0,4,0,NH,1,2,9.72,post-flexion,
SPECTRA_W22,118-4-0,4,0,NH,1,3,NA,damaged,
SPECTRA_W22,118-4-0,4,0,NH,1,4,6.61,,
SPECTRA_W22,118-4-0,4,0,NH,1,5,10.23,post-flexion,
SPECTRA_W22,118-4-0,4,0,NH,1,6,11.73,post-flexion,
SPECTRA_W22,118-4-0,4,0,NH,1,7,8.64,post-flexion,
SPECTRA_W22,118-4-0,4,0,NH,1,8,NA,damaged,
SPECTRA_W22,118-4-0,4,0,NH,1,9,9.28,post-flexion,
SPECTRA_W22,118-4-0,4,0,NH,1,10,12.11,post-flexion,
SPECTRA_W22,118-4-0,4,0,NH,1,11,10.57,post-flexion,
SPECTRA_W22,118-4-0,4,0,NH,1,12,13.54,post-flexion,
SPECTRA_W22,118-4-0,4,0,NH,1,13,10.44,post-flexion,
SPECTRA_W22,118-4-0,4,0,NH,1,14,12.04,post-flexion,
SPECTRA_W22,118-4-0,4,0,NH,1,15,14.46,post-flexion,
SPECTRA_W22,118-4-0,4,0,NH,1,16,15.21,post-flexion,
,,,,,,,,,
SPECTRA_W22,118-4-3,4,3,NH,1,1,12.65,post-flexion,
SPECTRA_W22,118-4-3,4,3,NH,1,2,15.41,post-flexion,
SPECTRA_W22,118-4-3,4,3,NH,1,3,10.56,post-flexion,
SPECTRA_W22,118-4-3,4,3,NH,1,4,12.58,post-flexion,
SPECTRA_W22,118-4-3,4,3,NH,1,5,11.31,post-flexion,
SPECTRA_W22,118-4-3,4,3,NH,1,6,NA,damaged,
SPECTRA_W22,118-4-3,4,3,NH,1,7,NA,damaged,
SPECTRA_W22,118-4-3,4,3,NH,1,8,14.54,post-flexion,
SPECTRA_W22,118-4-3,4,3,NH,1,9,14.25,post-flexion,
,,,,,,,,,
SPECTRA_W22,118-4-4,4,4,NH,1,1,7.98,,
SPECTRA_W22,118-4-4,4,4,NH,1,2,9.88,,
SPECTRA_W22,118-4-4,4,4,NH,1,3,7.54,,
SPECTRA_W22,118-4-4,4,4,NH,1,4,9.37,,
SPECTRA_W22,118-4-4,4,4,NH,1,5,7.71,,
SPECTRA_W22,118-4-4,4,4,NH,1,6,8.39,,
SPECTRA_W22,118-4-4,4,4,NH,1,7,8.8,,
SPECTRA_W22,118-4-4,4,4,NH,1,8,10.31,post-flexion,
SPECTRA_W22,118-4-4,4,4,NH,1,9,11.05,post-flexion,
SPECTRA_W22,118-4-4,4,4,NH,1,10,9.25,post-flexion,
SPECTRA_W22,118-4-4,4,4,NH,1,11,6.83,,
SPECTRA_W22,118-4-4,4,4,NH,1,12,10.82,post-flexion,
SPECTRA_W22,118-4-4,4,4,NH,1,13,9.18,post-flexion,
SPECTRA_W22,118-4-4,4,4,NH,1,14,7.88,,
SPECTRA_W22,118-4-4,4,4,NH,1,15,10.84,post-flexion,
SPECTRA_W22,118-4-4,4,4,NH,1,16,12.32,post-flexion,
SPECTRA_W22,118-4-4,4,4,NH,1,17,10.9,post-flexion,
SPECTRA_W22,118-4-4,4,4,NH,1,18,11.41,post-flexion,
SPECTRA_W22,118-4-4,4,4,NH,1,19,12.48,post-flexion,
SPECTRA_W22,118-4-4,4,4,NH,1,20,11.31,post-flexion,
SPECTRA_W22,118-4-4,4,4,NH,1,21,13.6,post-flexion,
SPECTRA_W22,118-4-4,4,4,NH,1,22,14.12,post-flexion,
,,,,,,,,,
SPECTRA_W22,119-1-0,1,0,NH,2,1,14.51,post-flexion,
,,,,,,,,,
SPECTRA_W22,119-1-3,1,3,NH,2,1,7.11,post-flexion,
,,,,,,,,,
SPECTRA_W22,119-1-4,1,4,NH,2,1,3.53,,
SPECTRA_W22,119-1-4,1,4,NH,2,2,NA,damaged,
,,,,,,,,,
SPECTRA_W22,119-4-0,4,0,NH,2,1,7.82,,
SPECTRA_W22,119-4-0,4,0,NH,2,2,8.38,,
SPECTRA_W22,119-4-0,4,0,NH,2,3,4.89,,
SPECTRA_W22,119-4-0,4,0,NH,2,4,8.29,post-flexion,
