Vial_Label,Haul Code,Length(mm),
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,11.07,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,9.39,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,8.8,flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,NA,"damaged, missing tail"
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,10.97,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,9.81,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,12.16,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,7.83,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,11.93,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,8.84,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,8.71,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,7.31,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,11.01,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,7.81,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,11.08,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,9.44,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,11.3,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,10.92,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,9.43,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,9.17,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,10.23,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,9.86,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,9.68,flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,8.03,flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,10.04,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,9.61,flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,6.02,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,10.16,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,6.37,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,7.3,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,9.52,moderate damage
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,10.52,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,NA,severely damaged
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,7.35,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,9.76,flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,NA,severely damaged
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,13.25,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,9.14,flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,7.65,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,6.94,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,9.28,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,12.54,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,7.46,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,9.53,flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,NA,severely damaged
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,9.72,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,8.82,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,10.41,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,10.3,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,9.04,flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,10.58,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,NA,severely damaged
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,9.91,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,9.87,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,10.12,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,11.38,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,9.54,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,10.09,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,10.83,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,10.35,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,9.1,flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,10.39,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,6.03,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,8.48,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,10.53,post-flexion
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,9.65,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,10.01,post-flexion
