time,mole_concentration_of_dissolved_molecular_oxygen_in_sea_water_profiler_depth_enabled,mole_concentration_of_dissolved_molecular_oxygen_in_sea_water_profiler_depth_enabled_qc_agg
UTC,micromol.L-1,
2014-04-17T23:28:00Z,261.795435695,NaN
2014-04-17T23:28:00Z,261.5350351331,NaN
2014-04-17T23:28:00Z,263.0099530789,NaN
2014-04-17T23:28:00Z,265.8522803073,NaN
2014-04-17T23:29:00Z,266.8859169671,NaN
2014-04-17T23:29:00Z,267.7124615323,NaN
2014-04-17T23:29:00Z,269.7265868776,NaN
2014-04-17T23:29:00Z,272.0071835576,NaN
2014-04-17T23:29:00Z,273.7543400977,NaN
2014-04-17T23:29:00Z,278.5328805767,NaN
2014-04-17T23:29:00Z,283.327970305,NaN
2014-04-17T23:29:00Z,288.7834380804,NaN
2014-04-17T23:29:00Z,293.4975038447,NaN
2014-04-17T23:29:00Z,297.769137438,NaN
2014-04-17T23:29:00Z,302.6841128821,NaN
2014-04-17T23:29:00Z,307.7186092699,NaN
2014-04-17T23:29:00Z,311.5127421426,NaN
2014-04-17T23:29:00Z,315.1785556806,NaN
2014-04-17T23:29:00Z,319.9073898826,NaN
2014-04-17T23:30:00Z,324.4095311161,NaN
2014-04-17T23:30:00Z,328.0449373448,NaN
2014-04-17T23:30:00Z,332.1631563034,NaN
2014-04-17T23:30:00Z,336.2990436046,NaN
2014-04-17T23:35:00Z,284.8118851233,NaN
2014-04-17T23:36:00Z,269.3998657131,NaN
2014-04-17T23:36:00Z,266.8971428028,NaN
2014-04-17T23:36:00Z,265.6390269089,NaN
2014-04-17T23:36:00Z,265.6861058836,NaN
2014-04-17T23:36:00Z,267.1457005413,NaN
2014-04-17T23:36:00Z,268.661295952,NaN
2014-04-17T23:37:00Z,270.0794108656,NaN
2014-04-17T23:37:00Z,271.2575359638,NaN
2014-04-17T23:37:00Z,274.2824659635,NaN
2014-04-17T23:37:00Z,277.5158039944,NaN
2014-04-17T23:37:00Z,281.9692377059,NaN
2014-04-17T23:37:00Z,286.3298530744,NaN
2014-04-17T23:37:00Z,292.1648871667,NaN
2014-04-17T23:37:00Z,297.3247585808,NaN
2014-04-17T23:37:00Z,302.0407554465,NaN
2014-04-17T23:37:00Z,306.394237064,NaN
2014-04-17T23:37:00Z,310.3704119675,NaN
2014-04-17T23:37:00Z,314.54267963,NaN
2014-04-17T23:37:00Z,318.7025206352,NaN
2014-04-17T23:37:00Z,322.5932792767,NaN
2014-04-17T23:37:00Z,326.1079172834,NaN
2014-04-17T23:37:00Z,327.792165488,NaN
2014-04-17T23:38:00Z,328.9655417088,NaN
2014-04-17T23:38:00Z,331.8289437156,NaN
2014-04-17T23:38:00Z,335.1164728588,NaN
2014-04-17T23:38:00Z,336.9370295236,NaN
2014-04-17T23:43:00Z,230.7080450809,NaN
2014-04-17T23:44:00Z,218.9062352543,NaN
2014-04-17T23:44:00Z,217.8062567657,NaN
2014-04-17T23:44:00Z,215.4802776664,NaN
2014-04-17T23:44:00Z,214.1657703118,NaN
2014-04-17T23:44:00Z,213.273388445,NaN
2014-04-17T23:44:00Z,212.7769042712,NaN
2014-04-17T23:45:00Z,212.6035490463,NaN
2014-04-17T23:45:00Z,211.4310134153,NaN
2014-04-17T23:45:00Z,211.5769811261,NaN
2014-04-17T23:45:00Z,213.0515019052,NaN
2014-04-17T23:45:00Z,214.2499463566,NaN
2014-04-17T23:45:00Z,218.2908893434,NaN
2014-04-17T23:45:00Z,225.1262803762,NaN
2014-04-17T23:45:00Z,229.5577169828,NaN
2014-04-17T23:45:00Z,236.650843891,NaN
2014-04-17T23:45:00Z,245.4284986662,NaN
2014-04-17T23:45:00Z,255.2542253758,NaN
2014-04-17T23:45:00Z,264.8726913749,NaN
2014-04-17T23:45:00Z,273.3950217688,NaN
2014-04-17T23:45:00Z,280.996213748,NaN
2014-04-17T23:45:00Z,286.5574172814,NaN
2014-04-17T23:46:00Z,289.3824396017,NaN
2014-04-17T23:46:00Z,295.3678396811,NaN
2014-04-17T23:46:00Z,301.6544325301,NaN
2014-04-17T23:46:00Z,308.8301557302,NaN
2014-04-17T23:52:00Z,313.9910472825,NaN
2014-04-17T23:53:00Z,314.723698049,NaN
2014-04-17T23:53:00Z,315.3158016581,NaN
2014-04-17T23:53:00Z,315.7545875942,NaN
2014-04-17T23:53:00Z,316.2354751141,NaN
2014-04-17T23:53:00Z,316.210845603,NaN
2014-04-17T23:53:00Z,316.0344120872,NaN
2014-04-17T23:53:00Z,318.2161714307,NaN
2014-04-17T23:53:00Z,321.6224104401,NaN
2014-04-17T23:53:00Z,324.7169532081,NaN
2014-04-17T23:53:00Z,328.1318877218,NaN
2014-04-17T23:53:00Z,331.5413628379,NaN
2014-04-17T23:53:00Z,334.3965864133,NaN
2014-04-17T23:53:00Z,337.0976405902,NaN
2014-04-17T23:53:00Z,339.0791790188,NaN
2014-04-17T23:53:00Z,340.4638186353,NaN
2014-04-17T23:54:00Z,341.7640265725,NaN
2014-04-17T23:54:00Z,343.9197327181,NaN
2014-04-17T23:54:00Z,346.0497515172,NaN
2014-04-17T23:54:00Z,346.9995431913,NaN
2014-04-17T23:54:00Z,348.6868360557,NaN
2014-04-17T23:54:00Z,350.5266733789,NaN
2014-04-17T23:54:00Z,352.5393814641,NaN
2014-04-17T23:54:00Z,354.256285632,NaN
2014-04-17T23:54:00Z,354.7498754096,NaN
2014-04-18T00:09:00Z,210.0342625713,NaN
2014-04-18T00:10:00Z,209.6414600806,NaN
2014-04-18T00:10:00Z,209.4813518306,NaN
2014-04-18T00:10:00Z,209.0405553174,NaN
2014-04-18T00:10:00Z,208.8371080255,NaN
2014-04-18T00:10:00Z,210.3165286037,NaN
2014-04-18T00:10:00Z,211.9386777958,NaN
2014-04-18T00:10:00Z,212.4916909409,NaN
2014-04-18T00:10:00Z,214.4871909716,NaN
2014-04-18T00:10:00Z,216.9686779179,NaN
2014-04-18T00:10:00Z,218.8755110566,NaN
2014-04-18T00:10:00Z,222.9910726832,NaN
2014-04-18T00:10:00Z,229.3890636345,NaN
2014-04-18T00:10:00Z,237.9561786018,NaN
2014-04-18T00:10:00Z,244.7046849831,NaN
2014-04-18T00:10:00Z,247.82462209,NaN
2014-04-18T00:11:00Z,253.3668592957,NaN
2014-04-18T00:11:00Z,261.7496955957,NaN
2014-04-18T00:11:00Z,270.6872011131,NaN
2014-04-18T00:11:00Z,279.8721244329,NaN
2014-04-18T00:11:00Z,288.8256714089,NaN
2014-04-18T00:11:00Z,296.6942988619,NaN
2014-04-18T00:11:00Z,304.8931024858,NaN
2014-04-18T00:11:00Z,314.9670053877,NaN
2014-04-18T05:59:00Z,287.9134333577,NaN
2014-04-18T06:00:00Z,287.9598357316,NaN
2014-04-18T06:00:00Z,287.9180061496,NaN
2014-04-18T06:00:00Z,287.9011077888,NaN
2014-04-18T06:00:00Z,288.0772292052,NaN
2014-04-18T06:00:00Z,288.2949465715,NaN
2014-04-18T06:00:00Z,288.219980048,NaN
2014-04-18T06:00:00Z,288.6246225504,NaN
2014-04-18T06:00:00Z,289.9075082921,NaN
2014-04-18T06:00:00Z,292.5741567541,NaN
2014-04-18T06:00:00Z,296.7363924974,NaN
2014-04-18T06:00:00Z,299.9032564596,NaN
2014-04-18T06:00:00Z,302.8802180728,NaN
2014-04-18T06:00:00Z,305.7707617225,NaN
2014-04-18T06:00:00Z,308.1536357904,NaN
2014-04-18T06:01:00Z,309.7716659346,NaN
2014-04-18T06:01:00Z,310.8600288747,NaN
2014-04-18T06:01:00Z,314.1775622798,NaN
2014-04-18T06:01:00Z,317.3889350193,NaN
2014-04-18T06:01:00Z,319.5980574686,NaN
2014-04-18T06:01:00Z,323.3954539717,NaN
2014-04-18T06:01:00Z,326.4290966926,NaN
2014-04-18T06:01:00Z,329.1341315597,NaN
2014-04-18T06:01:00Z,332.6975812653,NaN
2014-04-18T06:01:00Z,335.9508163774,NaN
2014-04-18T06:01:00Z,337.1388084773,NaN
2014-04-18T10:59:00Z,209.9883893066,NaN
2014-04-18T11:00:00Z,209.9863911338,NaN
2014-04-18T11:00:00Z,209.9767585138,NaN
2014-04-18T11:00:00Z,210.302048146,NaN
2014-04-18T11:00:00Z,210.7947961721,NaN
2014-04-18T11:00:00Z,211.7795527097,NaN
2014-04-18T11:00:00Z,212.7610084751,NaN
2014-04-18T11:00:00Z,213.6834488905,NaN
2014-04-18T11:00:00Z,214.5467414382,NaN
2014-04-18T11:00:00Z,215.0552757018,NaN
2014-04-18T11:00:00Z,217.8007003371,NaN
2014-04-18T11:00:00Z,219.3131744271,NaN
2014-04-18T11:00:00Z,223.9584814449,NaN
2014-04-18T11:00:00Z,227.9421497073,NaN
2014-04-18T11:00:00Z,231.1272686656,NaN
2014-04-18T11:00:00Z,234.5249030375,NaN
2014-04-18T11:00:00Z,237.9029375605,NaN
2014-04-18T11:00:00Z,240.4786050673,NaN
2014-04-18T11:01:00Z,243.5651127115,NaN
2014-04-18T11:01:00Z,249.338191796,NaN
2014-04-18T11:01:00Z,254.3066411416,NaN
2014-04-18T11:01:00Z,259.1208112809,NaN
2014-04-18T11:01:00Z,265.2199721418,NaN
2014-04-18T11:01:00Z,270.050914054,NaN
2014-04-18T11:01:00Z,275.2365159707,NaN
2014-04-18T17:04:00Z,268.5400200185,NaN
2014-04-18T17:05:00Z,266.0775371063,NaN
2014-04-18T17:05:00Z,265.7236686027,NaN
2014-04-18T17:05:00Z,265.0027317164,NaN
2014-04-18T17:05:00Z,265.4178013031,NaN
2014-04-18T17:05:00Z,268.0380091882,NaN
2014-04-18T17:05:00Z,270.8379363458,NaN
2014-04-18T17:05:00Z,272.1040261779,NaN
2014-04-18T17:05:00Z,273.5635752143,NaN
2014-04-18T17:05:00Z,276.9994230083,NaN
2014-04-18T17:05:00Z,280.569164472,NaN
2014-04-18T17:05:00Z,283.5447956003,NaN
2014-04-18T17:05:00Z,286.9845448272,NaN
2014-04-18T17:05:00Z,289.738997616,NaN
2014-04-18T17:06:00Z,291.6117281238,NaN
2014-04-18T17:06:00Z,294.8865572434,NaN
2014-04-18T17:06:00Z,298.2922570861,NaN
2014-04-18T17:06:00Z,301.6816267342,NaN
2014-04-18T17:06:00Z,305.064873764,NaN
2014-04-18T17:06:00Z,308.3999290317,NaN
2014-04-18T17:06:00Z,310.8690270339,NaN
2014-04-18T17:06:00Z,312.9797664138,NaN
2014-04-18T17:06:00Z,315.2386376221,NaN
2014-04-18T22:59:00Z,331.9077865008,NaN
2014-04-18T23:00:00Z,331.968741894,NaN
2014-04-18T23:00:00Z,331.945298775,NaN
2014-04-18T23:00:00Z,331.8788111312,NaN
2014-04-18T23:00:00Z,331.9482878759,NaN
2014-04-18T23:00:00Z,332.2733589107,NaN
2014-04-18T23:00:00Z,332.6722242185,NaN
2014-04-18T23:00:00Z,333.1626971607,NaN
2014-04-18T23:00:00Z,333.4689333841,NaN
2014-04-18T23:00:00Z,333.8186111095,NaN
2014-04-18T23:00:00Z,334.0554907743,NaN
2014-04-18T23:00:00Z,334.3890265802,NaN
2014-04-18T23:00:00Z,334.7812435532,NaN
2014-04-18T23:00:00Z,335.1581094074,NaN
2014-04-18T23:00:00Z,335.4074312068,NaN
2014-04-18T23:00:00Z,335.9430381725,NaN
2014-04-18T23:00:00Z,337.8033602764,NaN
2014-04-18T23:00:00Z,339.5245622394,NaN
2014-04-18T23:00:00Z,340.3572425344,NaN
2014-04-18T23:01:00Z,340.9300975004,NaN
2014-04-18T23:01:00Z,342.3952752843,NaN
2014-04-18T23:01:00Z,343.7617745765,NaN
2014-04-18T23:01:00Z,345.682825309,NaN
2014-04-18T23:01:00Z,346.8334157702,NaN
2014-04-18T23:01:00Z,348.2480118479,NaN
2014-04-19T04:59:00Z,224.3603256546,NaN
2014-04-19T04:59:00Z,224.3181863693,NaN
2014-04-19T05:00:00Z,224.3845359747,NaN
2014-04-19T05:00:00Z,224.4521728637,NaN
2014-04-19T05:00:00Z,224.6436553031,NaN
2014-04-19T05:00:00Z,224.8891487283,NaN
2014-04-19T05:00:00Z,225.0852926918,NaN
2014-04-19T05:00:00Z,225.347948552,NaN
2014-04-19T05:00:00Z,225.6425210878,NaN
2014-04-19T05:00:00Z,225.7560496237,NaN
2014-04-19T05:00:00Z,226.2374032077,NaN
2014-04-19T05:00:00Z,226.9459984542,NaN
2014-04-19T05:00:00Z,227.645965423,NaN
2014-04-19T05:00:00Z,227.6998949771,NaN
2014-04-19T05:00:00Z,231.6320264804,NaN
2014-04-19T05:00:00Z,236.1458061742,NaN
2014-04-19T05:00:00Z,243.9437352063,NaN
2014-04-19T05:00:00Z,250.0288465959,NaN
2014-04-19T05:01:00Z,250.2831814938,NaN
2014-04-19T05:01:00Z,254.4600429649,NaN
2014-04-19T05:01:00Z,260.3165284554,NaN
2014-04-19T05:01:00Z,265.9283516117,NaN
2014-04-19T05:01:00Z,270.216350564,NaN
2014-04-19T05:01:00Z,274.1178021216,NaN
2014-04-19T05:01:00Z,279.2716987325,NaN
2014-04-19T11:00:00Z,279.3019045996,NaN
2014-04-19T11:01:00Z,279.2314438309,NaN
2014-04-19T11:01:00Z,279.2614760763,NaN
2014-04-19T11:01:00Z,279.3953233265,NaN
2014-04-19T11:01:00Z,279.441508276,NaN
2014-04-19T11:01:00Z,279.6555878597,NaN
2014-04-19T11:01:00Z,279.6919640361,NaN
2014-04-19T11:01:00Z,279.7626065215,NaN
2014-04-19T11:01:00Z,279.8748191594,NaN
2014-04-19T11:01:00Z,279.9693693498,NaN
2014-04-19T11:02:00Z,280.0297688263,NaN
2014-04-19T11:02:00Z,280.1513740065,NaN
2014-04-19T11:02:00Z,280.2185973806,NaN
2014-04-19T11:02:00Z,280.2501503322,NaN
2014-04-19T11:02:00Z,281.0722786052,NaN
2014-04-19T11:02:00Z,283.0262968858,NaN
2014-04-19T11:02:00Z,284.3013740416,NaN
2014-04-19T11:02:00Z,286.4386506512,NaN
2014-04-19T11:02:00Z,289.128182462,NaN
2014-04-19T11:02:00Z,291.307357755,NaN
2014-04-19T11:02:00Z,293.0616458005,NaN
2014-04-19T11:02:00Z,295.0364143261,NaN
2014-04-19T11:02:00Z,297.4569136836,NaN
2014-04-19T11:02:00Z,299.9259596289,NaN
2014-04-19T11:02:00Z,302.0316457549,NaN
2014-04-19T11:02:00Z,303.9457213456,NaN
2014-04-19T16:58:00Z,296.5172590174,NaN
2014-04-19T16:59:00Z,298.6067600711,NaN
2014-04-19T16:59:00Z,298.8846845052,NaN
2014-04-19T17:00:00Z,299.204397772,NaN
2014-04-19T17:00:00Z,299.8103860664,NaN
2014-04-19T17:00:00Z,300.9079194386,NaN
2014-04-19T17:00:00Z,301.9351055946,NaN
2014-04-19T17:00:00Z,302.6194325741,NaN
2014-04-19T17:00:00Z,303.3894503776,NaN
2014-04-19T17:00:00Z,304.3891255848,NaN
2014-04-19T17:00:00Z,305.3167632901,NaN
2014-04-19T17:00:00Z,307.0535764677,NaN
2014-04-19T17:00:00Z,308.5123364619,NaN
2014-04-19T17:00:00Z,309.728341629,NaN
2014-04-19T17:00:00Z,310.7556774863,NaN
2014-04-19T17:00:00Z,311.5496928688,NaN
2014-04-19T17:00:00Z,312.7651821016,NaN
2014-04-19T17:00:00Z,313.9064748179,NaN
2014-04-19T17:00:00Z,315.1099518933,NaN
2014-04-19T17:00:00Z,316.2078648652,NaN
2014-04-19T17:01:00Z,316.8070087676,NaN
2014-04-19T17:01:00Z,317.8078539226,NaN
2014-04-22T10:59:00Z,369.1374400111,NaN
2014-04-22T11:00:00Z,369.0649361562,NaN
2014-04-22T11:00:00Z,369.315898119,NaN
2014-04-22T11:00:00Z,369.797926076,NaN
2014-04-22T11:00:00Z,370.0709772165,NaN
2014-04-22T11:00:00Z,370.1211291825,NaN
2014-04-22T11:00:00Z,370.4523642953,NaN
2014-04-22T11:00:00Z,370.543340416,NaN
2014-04-22T11:00:00Z,370.3262297801,NaN
2014-04-22T11:00:00Z,370.7998210116,NaN
2014-04-22T11:00:00Z,371.1659288841,NaN
2014-04-22T11:00:00Z,371.1135864464,NaN
2014-04-22T11:00:00Z,370.7211461605,NaN
2014-04-22T11:00:00Z,370.8919105161,NaN
2014-04-22T11:00:00Z,371.1005531393,NaN
2014-04-22T11:00:00Z,371.1959430505,NaN
2014-04-22T11:01:00Z,371.3808872402,NaN
2014-04-22T11:01:00Z,371.5752894968,NaN
2014-04-22T11:01:00Z,371.688411132,NaN
2014-04-22T16:56:00Z,366.265680651,NaN
2014-04-22T16:57:00Z,366.1961854339,NaN
2014-04-22T16:57:00Z,366.1734364916,NaN
2014-04-22T16:57:00Z,366.0638918231,NaN
2014-04-22T16:57:00Z,366.1663049894,NaN
2014-04-22T16:57:00Z,366.1596020368,NaN
2014-04-22T16:57:00Z,366.1218037073,NaN
2014-04-22T16:57:00Z,366.121833148,NaN
2014-04-22T16:57:00Z,365.9851220915,NaN
2014-04-22T16:57:00Z,365.8828416953,NaN
2014-04-22T16:57:00Z,365.8080194029,NaN
2014-04-22T16:57:00Z,365.7551782538,NaN
2014-04-22T16:57:00Z,365.6764836303,NaN
2014-04-22T16:58:00Z,365.7404376347,NaN
2014-04-22T16:58:00Z,365.7794538407,NaN
2014-04-22T16:58:00Z,365.8629405324,NaN
2014-04-22T16:58:00Z,366.0391110287,NaN
2014-04-22T16:58:00Z,366.1703540203,NaN
2014-04-22T16:58:00Z,366.2933378643,NaN
2014-04-22T22:54:00Z,380.8060455673,NaN
2014-04-22T22:55:00Z,380.647501676,NaN
2014-04-22T22:55:00Z,380.726871479,NaN
2014-04-22T22:55:00Z,380.7564866508,NaN
2014-04-22T22:55:00Z,380.7735802605,NaN
2014-04-22T22:55:00Z,380.8371869279,NaN
2014-04-22T22:55:00Z,381.0118559448,NaN
2014-04-22T22:56:00Z,381.1164005551,NaN
2014-04-22T22:56:00Z,381.1579709071,NaN
2014-04-22T22:56:00Z,381.3191143326,NaN
2014-04-22T22:56:00Z,381.377899215,NaN
2014-04-22T22:56:00Z,381.5784031939,NaN
2014-04-22T22:56:00Z,381.5714476896,NaN
2014-04-22T22:56:00Z,381.6530169759,NaN
2014-04-22T22:56:00Z,381.6833974017,NaN
2014-04-22T22:56:00Z,381.7910864562,NaN
2014-04-22T22:56:00Z,381.9732442345,NaN
2014-04-22T22:56:00Z,381.9900321576,NaN
2014-04-22T22:56:00Z,382.1403608828,NaN
2014-04-22T22:56:00Z,382.3697624783,NaN
2014-04-22T22:56:00Z,382.4959538549,NaN
2014-04-23T00:00:00Z,380.1851987329,NaN
2014-04-23T00:00:00Z,380.50126463,NaN
2014-04-23T00:00:00Z,380.5180527454,NaN
2014-04-23T00:00:00Z,380.562596792,NaN
2014-04-23T00:01:00Z,380.6551305101,NaN
2014-04-23T00:01:00Z,380.7952700703,NaN
2014-04-23T00:01:00Z,380.6827717995,NaN
2014-04-23T00:01:00Z,380.752879942,NaN
2014-04-23T00:01:00Z,380.875587662,NaN
2014-04-23T00:01:00Z,380.9865329967,NaN
2014-04-23T00:01:00Z,380.9320174433,NaN
2014-04-23T00:01:00Z,381.0391631864,NaN
2014-04-23T00:01:00Z,381.1060253472,NaN
2014-04-23T00:01:00Z,381.0702710725,NaN
2014-04-23T00:01:00Z,381.0202856544,NaN
2014-04-23T00:01:00Z,381.1423704172,NaN
2014-04-23T00:01:00Z,381.1891735946,NaN
