Cruise,date,Location,Transect,Station.,Net.no,moc.1.volume.m3,moc.4.volume.m3,time.start.GMT,time.end.GMT,notes
S18,180710,NH,MaN,5,4,139.0007562,556.003025,5:31:49,5:35:17,
S18,180710,NH,MaN,3,0,864.445866,3457.783463,8:01:36,8:27:44,
S18,180710,NH,MaN,3,1,258.60919,1034.43676,8:13:19,8:19:58,
S18,180710,NH,MaN,3,2,142.0279421,568.111768,8:19:59,8:23:29,
S18,180710,NH,MaN,3,3,166.4012416,665.6049668,8:23:30,8:27:43,
S18,180710,NH,MaN,3,4,173.2744732,693.0978927,8:27:45,8:32:18,
S18,180710,NH,MaN,1,0,178.9549578,715.8198311,10:33:03,10:37:26,
S18,180710,NH,MaN,1,3,221.1798933,884.7195735,10:37:27,10:42:01,
S18,180710,NH,MaN,1,4,172.6501602,690.6006408,10:42:02,10:45:56,
S18,180711,NH,MbD,1,0,506.8341246,2027.336499,14:41:05,14:55:24,
S18,180711,NH,MbD,1,3,183.0875285,732.3501144,14:55:25,15:02:21,
S18,180711,NH,MbD,1,4,139.1674088,556.6696355,15:02:22,15:07:49,
S18,180711,NH,MbD,2,0,238.6104303,954.4417208,17:00:52,17:08:56,
S18,180711,NH,MbD,2,2,187.3482105,749.3928413,17:08:57,17:15:33,
S18,180711,NH,MbD,2,3,162.2936806,649.1747222,17:15:34,17:21:45,
S18,180711,NH,MbD,2,4,156.7364328,626.9457311,17:21:46,17:27:41,
S18,180711,NH,MbD,3,0,429.3421252,1717.368501,19:59:43,20:10:56,
S18,180711,NH,MbD,3,1,182.1331461,728.5325847,20:10:57,20:16:19,
S18,180711,NH,MbD,3,2,232.151353,928.6054124,20:16:20,20:23:16,
S18,180711,NH,MbD,3,3,373.2411468,1492.964588,20:23:17,20:33:52,
S18,180711,NH,MbD,3,4,225.6469002,902.5876003,20:33:53,20:40:19,
S18,180711,NH,MbD,4,0,583.615151,2334.460603,22:59:28,23:15:01,
S18,180711,NH,MbD,4,1,162.4003362,649.6013445,23:09:27,23:14:03,
S18,180711,NH,MbD,4,2,242.8444039,971.3776161,23:14:04,23:21:16,
S18,180711,NH,MbD,4,3,228.1683925,912.6735702,23:21:17,23:27:45,
S18,180711,NH,MbD,4,4,127.4459344,509.7837374,23:27:45,23:31:40,
W19,190305,NH,MaN,1,0,190.6968282,762.7873126,4:19:53,4:24:08,
W19,190305,NH,MaN,1,3,137.65407,550.61628,4:24:09,4:27:18,
W19,190305,NH,MaN,1,4,178.9598253,715.8393013,4:27:19,4:31:31,
W19,190305,NH,MaN,2,0,298.3416024,1193.36641,6:09:36,6:16:38,
W19,190305,NH,MaN,2,2,216.1992766,864.797106,6:16:39,6:20:46,
W19,190305,NH,MaN,2,3,147.5640252,590.2561008,6:20:47,6:23:53,
W19,190305,NH,MaN,2,4,187.1955889,748.7823559,6:23:54,6:28:19,
W19,190305,NH,MaN,3,0,299.2996454,1197.198581,8:17:44,8:24:41,
W19,190305,NH,MaN,3,1,122.3497658,489.3990632,8:24:42,8:27:11,
W19,190305,NH,MaN,3,2,146.1976799,584.7907194,8:27:12,8:30:45,
W19,190305,NH,MaN,3,3,249.511414,998.0456558,8:30:46,8:37:04,
W19,190305,NH,MaN,3,4,238.7076277,954.8305111,8:37:05,8:43:29,
W19,190305,NH,MaN,4,0,420.3095629,1681.238251,10:34:05,10:44:28,
W19,190305,NH,MaN,4,1,169.9038155,679.6152624,10:44:29,10:49:12,
W19,190305,NH,MaN,4,2,120.0932763,480.3731047,10:49:13,10:53:05,
W19,190305,NH,MaN,4,3,210.1788651,840.7154597,10:53:06,11:00:44,
W19,190305,NH,MaN,4,4,183.5715984,734.2863943,11:00:45,11:07:26,
W19,190305,NH,MaN,5,0,340.6119211,1362.447684,12:46:51,12:54:37,
W19,190305,NH,MaN,5,1,225.1100373,900.4401491,12:54:38,12:59:06,
W19,190305,NH,MaN,5,2,286.9125681,1147.650273,12:59:07,13:04:39,
W19,190305,NH,MaN,5,3,119.2833189,477.1332758,13:04:40,13:07:12,
W19,190305,NH,MaN,5,4,317.263013,1269.052052,13:07:13,13:15:29,
W19,190305,NH,MaD,5,0,318.1882772,1272.753109,16:14:58,16:22:31,
W19,190305,NH,MaD,5,1,303.7594872,1215.037949,16:22:32,16:29:11,
W19,190305,NH,MaD,5,2,263.5473002,1054.189201,16:29:12,16:35:00,
W19,190305,NH,MaD,5,3,282.00714,1128.02856,16:35:01,16:41:01,
W19,190305,NH,MaD,5,4,254.9256285,1019.702514,16:41:02,16:46:34,
W19,190305,NH,MaD,4,0,273.0072016,1092.028806,18:15:37,18:22:35,
W19,190305,NH,MaD,4,1,246.0268423,984.1073696,18:22:36,18:27:35,
W19,190305,NH,MaD,4,2,229.0763611,916.3054448,18:27:36,18:32:10,
W19,190305,NH,MaD,4,3,235.0988039,940.3952155,18:32:11,18:37:06,
W19,190305,NH,MaD,4,4,271.5860599,1086.34424,18:37:07,18:43:01,
W19,190305,NH,MaD,3,0,275.7438501,1102.9754,20:38:45,20:45:48,
W19,190305,NH,MaD,3,1,316.0606504,1264.242601,20:45:49,20:51:51,
W19,190305,NH,MaD,3,2,225.1632094,900.6528377,20:51:52,20:56:00,
W19,190305,NH,MaD,3,3,289.5499443,1158.199777,20:56:01,21:01:36,
W19,190305,NH,MaD,3,4,256.1050703,1024.420281,21:01:37,21:06:55,
W19,190305,NH,MaD,2,0,278.5717709,1114.287083,22:44:49,22:51:56,
W19,190305,NH,MaD,2,2,234.0425528,936.1702113,22:51:57,22:57:27,
W19,190305,NH,MaD,2,3,277.8638328,1111.455331,22:57:28,23:04:06,
W19,190305,NH,MaD,2,4,258.2530334,1033.012133,23:04:07,23:10:20,
W19,190306,NH,MaD,1,0,214.1206819,856.4827274,0:26:29,0:31:22,
W19,190306,NH,MaD,1,3,237.2545441,949.0181768,0:31:23,0:36:21,
W19,190306,NH,MaD,1,4,284.2507163,1137.002865,0:36:22,0:42:27,
W19,190307,NH,MbN,1,0,365.5256556,1462.102622,3:31:26,3:39:51,
W19,190307,NH,MbN,1,3,249.4346614,997.7386462,3:39:52,3:45:43,
W19,190307,NH,MbN,1,4,258.6745426,1034.69817,3:45:44,3:52:02,
W19,190307,NH,MbN,2,0,251.0407333,1004.162934,5:17:17,5:23:25,
W19,190307,NH,MbN,2,2,360.5006807,1442.002723,5:23:26,5:30:29,
W19,190307,NH,MbN,2,3,245.0898484,980.3593935,5:30:30,5:35:07,
W19,190307,NH,MbN,2,4,218.5822732,874.3290923,5:35:08,5:39:54,
W19,190307,NH,MbN,3,0,314.2138718,1256.855487,7:29:28,7:37:02,
W19,190307,NH,MbN,3,1,265.7135623,1062.854249,7:37:03,7:42:44,
W19,190307,NH,MbN,3,2,345.1924258,1380.769703,7:42:45,7:49:16,
W19,190307,NH,MbN,3,3,275.2878195,1101.151278,7:49:17,7:54:17,
W19,190307,NH,MbN,3,4,260.6739492,1042.695797,7:54:18,7:58:58,
W19,190307,NH,MbN,4,0,262.7192522,1050.877008,9:44:42,9:50:44,
W19,190307,NH,MbN,4,1,282.9758549,1131.90342,9:50:45,9:55:48,
W19,190307,NH,MbN,4,2,271.1462483,1084.584993,9:55:49,10:00:22,
W19,190307,NH,MbN,4,3,208.9899595,835.9598384,10:00:23,10:04:15,
W19,190307,NH,MbN,4,4,238.6152141,954.4608565,10:04:16,10:08:58,
W19,190307,NH,MbN,5,0,324.260494,1297.041976,11:54:19,12:02:37,
W19,190307,NH,MbN,5,1,367.3203915,1469.281565,12:02:38,12:10:39,
W19,190307,NH,MbN,5,2,136.1005902,544.4023609,12:10:40,12:13:35,
W19,190307,NH,MbN,5,3,282.381267,1129.525068,12:13:36,12:19:50,
W19,190307,NH,MbN,5,4,247.490917,989.9636684,12:19:51,12:25:22,
W19,190307,NH,MbD,5,0,351.5956688,1406.382675,16:00:56,16:10:11,
W19,190307,NH,MbD,5,1,222.3810054,889.5240214,16:10:12,16:15:39,
W19,190307,NH,MbD,5,2,185.8252723,743.3010896,16:15:40,16:20:11,
W19,190307,NH,MbD,5,3,223.2679397,893.071759,16:20:12,16:25:17,
W19,190307,NH,MbD,5,4,187.4005993,749.6023973,16:25:18,16:29:35,
W19,190307,NH,MbD,4,0,322.2161197,1288.86448,17:59:33,18:07:59,
W19,190307,NH,MbD,4,1,231.08834,924.3533596,18:08:00,18:13:11,
W19,190307,NH,MbD,4,2,199.8860031,799.5440125,18:13:12,18:17:37,
W19,190307,NH,MbD,4,3,195.0226227,780.0904909,18:17:38,18:22:14,
W19,190307,NH,MbD,4,4,237.9325229,951.7300912,18:22:15,18:27:58,
W19,190307,NH,MbD,3,0,258.1215965,1032.486386,20:15:07,20:21:43,
W19,190307,NH,MbD,3,1,250.884933,1003.539732,20:21:44,20:26:28,
W19,190307,NH,MbD,3,2,168.1038332,672.4153325,20:26:29,20:29:34,
W19,190307,NH,MbD,3,3,187.7362982,750.9451925,20:29:35,20:33:17,
W19,190307,NH,MbD,3,4,166.6123898,666.4495586,20:33:18,20:37:14,
W19,190307,NH,MbD,2,0,275.6202723,1102.481089,22:19:31,22:25:39,
W19,190307,NH,MbD,2,2,162.4198821,649.6795284,22:25:40,22:28:44,
W19,190307,NH,MbD,2,3,153.2106537,612.8426151,22:28:45,22:32:05,
W19,190307,NH,MbD,2,4,245.7021401,982.8085607,22:32:06,22:38:06,
W19,190307,NH,MbD,1,0,124.4557461,497.8229846,23:56:46,23:59:59,
W19,190308,NH,MbD,1,3,269.605577,1078.422308,0:03:28,0:09:46,
W19,190308,NH,MbD,1,4,220.2607497,881.0429988,0:09:47,0:15:22,
W19,190309,TR,MaD,1,0,200.7056956,802.8227829,16:10:31,16:15:17,
W19,190309,TR,MaD,1,3,315.5696804,1262.278722,16:15:18,16:21:02,
W19,190309,TR,MaD,1,4,233.3841397,933.5365592,16:21:03,16:25:28,
W19,190309,TR,MaD,2,0,360.0592751,1440.2371,17:24:25,17:33:22,
W19,190309,TR,MaD,2,1,293.8063102,1175.225241,17:33:23,17:39:10,
