cruise,date,transect,station,location,Moc,Net,Haul,Length_mm,Notes
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,3.2,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,3.97,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,4.7,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,3.55,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,3.5,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,3.26,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,3.12,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,3.67,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,2.93,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,2.67,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,3.96,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,2.6,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,3.57,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,3.36,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,3.16,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,2.99,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,2.56,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,3.28,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,2.72,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,1.64,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,NA,damaged
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,2.42,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,3.39,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,2.19,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,2.22,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,3.02,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,3.17,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,3.57,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,3.34,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,2.64,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,4.32,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,5.29,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,5.36,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,5.51,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,4.67,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,4.51,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,5.3,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,5.95,Midsection damaged
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,5.63,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,5.06,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,4.69,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,5.61,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,7.76,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,6.45,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,4.08,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,4.35,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,5.52,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,4.56,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,4.2,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,4.9,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,4.76,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,4.84,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,4.06,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,3.26,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,3.61,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,3.33,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,4,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,3.63,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,4.77,Tail section segmented
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,5.85,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,4.25,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,4.94,Tail section segmented
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,6.85,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,3.35,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,4.1,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,4.32,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,NA,damaged
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,3.97,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,4.77,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,3.81,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,3.1,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,3.85,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,4.17,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,4.74,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,4.33,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,3.75,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,4.24,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,3.55,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,3.44,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,4.85,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,4.62,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,3.96,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,3.03,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,3.84,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,3.78,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,3.03,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,3.72,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,3.82,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,3.49,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,3.21,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,4.06,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,3.37,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,5.04,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,4.05,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,2.32,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,NA,damaged
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,3.58,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,3.55,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,5.45,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,3.14,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,NA,damaged
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,2.92,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,2.06,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,3.26,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,3.13,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,NA,damaged
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,3.7,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,3.22,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,2.72,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,2.85,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,3.31,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,3.22,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,2.37,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,3.29,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,NA,damaged
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,3.55,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,3.73,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,3.51,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,4.4,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,3.2,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0*,2.83,
mezcalW18,20180223,NH,1,MbD,1,3,117-1-3,6.34,
mezcalW18,20180223,NH,1,MbD,1,3,117-1-3,3.98,
mezcalW18,20180223,NH,1,MbD,1,3,117-1-3,3.3,
mezcalW18,20180223,NH,1,MbD,1,3,117-1-3,2.55,
mezcalW18,20180223,NH,1,MbD,1,3,117-1-3,2.06,
mezcalW18,20180223,NH,1,MbD,1,3,117-1-3,3.97,
mezcalW18,20180223,NH,1,MbD,1,4,117-1-4*,8.04,
mezcalW18,20180223,NH,1,MbD,1,4,117-1-4*,4.94,
mezcalW18,20180223,NH,1,MbD,1,4,117-1-4*,8.44,
mezcalW18,20180223,NH,1,MbD,1,4,117-1-4*,5.65,
mezcalW18,20180223,NH,1,MbD,1,4,117-1-4*,4.49,
mezcalW18,20180223,NH,1,MbD,1,4,117-1-4*,3.67,
mezcalW18,20180223,NH,1,MbD,1,4,117-1-4*,3.88,
mezcalW18,20180223,NH,1,MbD,1,4,117-1-4*,3.84,
mezcalW18,20180223,NH,1,MbD,1,4,117-1-4*,3.79,Head segmented
mezcalW18,20180223,NH,1,MbD,1,4,117-1-4*,3.5,
mezcalW18,20180223,NH,1,MbD,1,4,117-1-4*,2.96,
mezcalW18,20180223,NH,1,MbD,1,4,117-1-4*,3.29,
mezcalW18,20180223,NH,1,MbD,1,4,117-1-4*,3.25,
mezcalW18,20180223,NH,1,MbD,1,4,117-1-4*,2.87,
mezcalW18,20180223,NH,1,MbD,1,4,117-1-4*,2.7,
mezcalW18,20180223,NH,1,MbD,1,4,117-1-4*,NA,damaged
mezcalW18,20180223,NH,1,MbD,1,4,117-1-4*,2.63,
mezcalW18,20180223,NH,1,MbD,1,4,117-1-4*,3.46,
mezcalW18,20180223,NH,1,MbD,1,4,117-1-4*,2.92,
mezcalW18,20180223,NH,1,MbD,1,4,117-1-4*,3.18,
mezcalW18,20180223,NH,1,MbD,1,4,117-1-4*,2.8,
mezcalW18,20180223,NH,1,MbD,1,4,117-1-4*,3.04,
mezcalW18,20180223,NH,1,MbD,1,4,117-1-4,9.83,
mezcalW18,20180223,NH,1,MbD,1,4,117-1-4,6.74,"Head damaged, missing both eyes"
mezcalW18,20180223,NH,1,MbD,1,4,117-1-4,5.96,
mezcalW18,20180223,NH,1,MbD,1,4,117-1-4,10.62,
mezcalW18,20180223,NH,1,MbD,1,4,117-1-4,6.23,
mezcalW18,20180223,NH,1,MbD,1,4,117-1-4,4.48,
mezcalW18,20180223,NH,1,MbD,1,4,117-1-4,5.63,
mezcalW18,20180223,NH,1,MbD,1,4,117-1-4,6.54,
