,cruise,date,transect,station,location,Moc,Net,Haul,Length_mm,Notes
128,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,10.48,post-flexion
129,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9.01,post-flexion
130,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,11.07,post-flexion
131,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9.39,post-flexion
132,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,8.8,flexion
133,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,10.97,post-flexion
134,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9.81,post-flexion
135,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,12.16,post-flexion
136,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,7.83,
137,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,11.93,post-flexion
138,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,8.84,post-flexion
139,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,8.71,
140,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,7.31,
141,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,11.01,post-flexion
142,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,7.81,
143,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,11.08,post-flexion
144,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9.44,post-flexion
145,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,11.3,post-flexion
146,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,10.92,post-flexion
147,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9.43,post-flexion
148,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9.17,post-flexion
149,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,10.23,post-flexion
150,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9.86,post-flexion
151,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9.68,flexion
152,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,8.03,flexion
153,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,10.04,post-flexion
154,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9.61,flexion
155,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,6.02,
156,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,10.16,post-flexion
157,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,6.37,
158,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,7.3,
159,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9.52,moderate damage
160,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,10.52,post-flexion
161,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,7.35,
162,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9.76,flexion
163,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,13.25,post-flexion
164,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9.14,flexion
165,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,7.65,
166,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,6.94,
167,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9.28,
168,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,12.54,post-flexion
169,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,7.46,
170,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9.53,flexion
171,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9.72,
172,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,8.82,
173,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,10.41,post-flexion
174,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,10.3,post-flexion
175,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9.04,flexion
176,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,10.58,post-flexion
177,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9.91,post-flexion
178,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9.87,post-flexion
179,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,10.12,post-flexion
180,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,11.38,post-flexion
181,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9.54,post-flexion
182,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,10.09,post-flexion
183,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,10.83,post-flexion
184,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,10.35,post-flexion
185,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9.1,flexion
186,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,10.39,post-flexion
187,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,6.03,
188,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,8.48,
189,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,10.53,post-flexion
190,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9.65,
191,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,10.01,post-flexion
192,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9.45,post-flexion
193,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,8.45,flexion
194,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,8.29,flexion
195,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9.82,post-flexion
196,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,10.65,post-flexion
197,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9.26,flexion
198,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9.22,
199,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,13.93,post-flexion
200,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9.23,post-flexion
201,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,11.48,post-flexion
202,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9.82,
203,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,8.56,flexion
204,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,11.04,post-flexion
205,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9.53,post-flexion
206,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9.52,flexion
207,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,11.52,post-flexion
208,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9.68,post-flexion
209,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9.17,post-flexion
210,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,10.92,post-flexion
211,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9.06,
212,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9.54,
213,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,10.07,post-flexion
214,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,10.19,post-flexion
215,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,10.42,
216,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,8.29,
217,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,8,
218,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,7.4,
219,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,7.42,
220,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,10.13,flexion
221,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9.08,post-flexion
222,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,11.05,post-flexion
223,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,10.02,post-flexion
224,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,10.43,post-flexion
225,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9.51,
226,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9.08,
227,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,11.68,post-flexion
228,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,11.04,post-flexion
229,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,7.96,
230,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,8.71,post-flexion
231,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,8.91,flexion
232,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9.7,post-flexion
233,mezcalW19,20190307,NH,2,MbD,4,3,319-4-3,10.32,
234,mezcalW19,20190307,NH,2,MbD,4,3,319-4-3,11.3,
235,mezcalW19,20190307,NH,2,MbD,4,3,319-4-3,9.18,
236,mezcalW19,20190307,NH,2,MbD,4,3,319-4-3,8.64,
237,mezcalW19,20190307,NH,2,MbD,4,3,319-4-3,8.93,
238,mezcalW19,20190307,NH,2,MbD,4,3,319-4-3,9.77,
239,mezcalW19,20190307,NH,2,MbD,4,3,319-4-3,8.58,
240,mezcalW19,20190307,NH,2,MbD,4,3,319-4-3,9.17,
241,mezcalW19,20190307,NH,2,MbD,4,3,319-4-3,8.4,
242,mezcalW19,20190307,NH,2,MbD,4,3,319-4-3,8.67,
243,mezcalW19,20190307,NH,2,MbD,4,3,319-4-3,8.96,
244,mezcalW19,20190307,NH,2,MbD,4,3,319-4-3,8.17,
245,mezcalW19,20190307,NH,2,MbD,4,3,319-4-3,7.74,
246,mezcalW19,20190307,NH,2,MbD,4,3,319-4-3,8.98,
247,mezcalW19,20190307,NH,2,MbD,4,3,319-4-3,9.19,
248,mezcalW19,20190307,NH,2,MbD,4,3,319-4-3,7.13,
249,mezcalW19,20190307,NH,2,MbD,4,3,319-4-3,9.28,
250,mezcalW19,20190307,NH,2,MbD,4,3,319-4-3,6.9,
251,mezcalW19,20190307,NH,2,MbD,4,3,319-4-3,8.28,
252,mezcalW19,20190307,NH,2,MbD,4,3,319-4-3,9.35,
253,mezcalW19,20190307,NH,2,MbD,4,2,319-4-2,9.6,
254,mezcalW19,20190307,NH,2,MbD,4,2,319-4-2,10.29,
255,mezcalW19,20190307,NH,2,MbD,4,2,319-4-2,8.47,
256,mezcalW19,20190307,NH,2,MbD,4,2,319-4-2,8.41,
257,mezcalW19,20190307,NH,2,MbD,4,2,319-4-2,9.84,
258,mezcalW19,20190307,NH,2,MbD,4,2,319-4-2,7.72,
259,mezcalW19,20190307,NH,2,MbD,4,2,319-4-2,9.3,
260,mezcalW19,20190307,NH,2,MbD,4,2,319-4-2,9.16,Gut region damaged
261,mezcalW19,20190307,NH,2,MbD,4,2,319-4-2,9.04,
262,mezcalW19,20190307,NH,2,MbD,4,2,319-4-2,10.09,
263,mezcalW19,20190307,NH,2,MbD,4,2,319-4-2,10.24,
264,mezcalW19,20190307,NH,2,MbD,4,2,319-4-2,8.68,
265,mezcalW19,20190307,NH,2,MbD,4,2,319-4-2,9.05,
266,mezcalW19,20190307,NH,2,MbD,4,2,319-4-2,8.48,
267,mezcalW19,20190307,NH,2,MbD,4,2,319-4-2,8.14,
268,mezcalW19,20190307,NH,2,MbD,4,2,319-4-2,NA,damaged
269,mezcalW19,20190307,NH,2,MbD,4,2,319-4-2,7.18,
270,mezcalW19,20190307,NH,2,MbD,4,2,319-4-2,8.14,
271,mezcalW19,20190307,NH,2,MbD,4,2,319-4-2,7.95,
272,mezcalW19,20190307,NH,2,MbD,4,2,319-4-2,7.25,
273,mezcalW19,20190307,NH,2,MbD,4,2,319-4-2,9.01,Gut region slightly damaged
274,mezcalW19,20190307,NH,2,MbD,4,2,319-4-2,7.56,
275,mezcalW19,20190307,NH,2,MbD,4,2,319-4-2,7.77,
276,mezcalW19,20190307,NH,2,MbD,4,2,319-4-2,8.69,
277,mezcalW19,20190307,NH,2,MbD,4,2,319-4-2,8.92,
278,mezcalW19,20190307,NH,2,MbD,4,2,319-4-2,7.29,Gut region slightly damaged
279,mezcalW19,20190307,NH,2,MbD,4,2,319-4-2,8.35,
280,mezcalW19,20190307,NH,2,MbD,4,2,319-4-2,7.22,
281,mezcalW19,20190307,NH,2,MbD,4,2,319-4-2,NA,damaged
282,mezcalW19,20190307,NH,2,MbD,4,2,319-4-2,NA,damaged
283,mezcalW19,20190307,NH,2,MbD,4,2,319-4-2,6.97,Gut region and lower jaw damaged
284,mezcalW19,20190307,NH,2,MbD,4,2,319-4-2,5.56,
285,mezcalW19,20190307,NH,2,MbD,4,2,319-4-2,NA,damaged
286,mezcalW19,20190307,NH,2,MbD,1,2,319-1-2,8.78,
287,mezcalW19,20190307,NH,2,MbD,1,2,319-1-2,8.4,
288,mezcalW19,20190307,NH,2,MbD,1,2,319-1-2,8.69,
289,mezcalW19,20190307,NH,2,MbD,1,2,319-1-2,8.98,
290,mezcalW19,20190307,NH,2,MbD,1,2,319-1-2,10.31,
291,mezcalW19,20190307,NH,2,MbD,1,2,319-1-2,9.86,
292,mezcalW19,20190307,NH,2,MbD,1,2,319-1-2,8.71,
293,mezcalW19,20190307,NH,2,MbD,1,2,319-1-2,9.47,
294,mezcalW19,20190307,NH,2,MbD,1,2,319-1-2,10.19,
295,mezcalW19,20190307,NH,2,MbD,1,2,319-1-2,6.09,
296,mezcalW19,20190307,NH,2,MbD,1,2,319-1-2,9.2,
297,mezcalW19,20190307,NH,2,MbD,1,2,319-1-2,6.49,
298,mezcalW19,20190307,NH,2,MbD,1,2,319-1-2,7.97,
299,mezcalW19,20190307,NH,2,MbD,1,2,319-1-2,8.01,
300,mezcalW19,20190307,NH,2,MbD,1,2,319-1-2,7.97,
301,mezcalW19,20190307,NH,2,MbD,1,2,319-1-2,6.23,
302,mezcalW19,20190307,NH,2,MbD,1,2,319-1-2,5.83,
303,mezcalW19,20190307,NH,2,MbD,1,2,319-1-2,3.32,
304,mezcalW19,20190307,NH,2,MbD,1,4,319-1-4,9.21,
305,mezcalW19,20190307,NH,2,MbD,1,4,319-1-4,9.53,
306,mezcalW19,20190307,NH,2,MbD,1,4,319-1-4,9.51,
307,mezcalW19,20190307,NH,2,MbD,1,4,319-1-4,8.67,
308,mezcalW19,20190307,NH,2,MbD,1,4,319-1-4,12.53,
309,mezcalW19,20190307,NH,2,MbD,1,4,319-1-4,10.74,
310,mezcalW19,20190307,NH,2,MbD,1,4,319-1-4,8.97,
311,mezcalW19,20190307,NH,2,MbD,1,4,319-1-4,8.34,
312,mezcalW19,20190307,NH,2,MbD,1,4,319-1-4,7.27,
313,mezcalW19,20190307,NH,2,MbD,1,4,319-1-4,8.46,
314,mezcalW19,20190307,NH,2,MbD,1,4,319-1-4,9.24,
315,mezcalW19,20190307,NH,2,MbD,1,4,319-1-4,11.43,
316,mezcalW19,20190307,NH,2,MbD,1,4,319-1-4,10.18,
317,mezcalW19,20190307,NH,2,MbD,1,4,319-1-4,10.62,
318,mezcalW19,20190307,NH,2,MbD,1,4,319-1-4,9.96,Gut region damaged
319,mezcalW19,20190307,NH,2,MbD,1,4,319-1-4,6.83,
320,mezcalW19,20190307,NH,2,MbD,1,4,319-1-4,8.44,Gut region damaged
321,mezcalW19,20190307,NH,2,MbD,1,4,319-1-4,8.31,
322,mezcalW19,20190307,NH,2,MbD,1,4,319-1-4,NA,damaged
323,mezcalW19,20190307,NH,2,MbD,1,4,319-1-4,6.74,Midsection broken during measurement
324,mezcalW19,20190307,NH,2,MbD,1,4,319-1-4,8.84,
325,mezcalW19,20190307,NH,2,MbD,1,4,319-1-4,8.3,
326,mezcalW19,20190307,NH,2,MbD,1,4,319-1-4,16.94,
327,mezcalW19,20190307,NH,2,MbD,1,4,319-1-4,5.89,
328,mezcalW19,20190307,NH,2,MbD,1,4,319-1-4,5.85,
329,mezcalW19,20190307,NH,2,MbD,1,4,319-1-4,6.71,
